Timestamp,CPU_Temp_C,RAM_Used_MB,RAM_Percent,CPU_Percent,Throttled_Hex,Throttled_Meaning
13:18:30,79.85,1517,39.7,0.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:31,81.5,1573,41.0,33.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:32,80.95,1636,42.6,26.9,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:33,79.85,1652,43.0,19.5,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:34,77.65,1652,43.0,4.5,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:35,78.2,1653,43.0,6.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:36,77.65,1656,43.1,7.5,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:37,76.0,1656,43.1,5.5,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:38,76.55,1656,43.1,7.5,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:39,75.45,1656,43.1,5.7,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:40,77.1,1680,43.7,17.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:41,78.75,1742,45.2,27.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:42,79.3,1807,46.8,29.6,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:43,80.95,1940,50.1,34.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:44,78.75,1938,50.1,8.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:45,78.75,1944,50.2,7.8,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:46,78.2,1948,50.3,11.7,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:47,82.05,1955,50.5,21.5,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:48,80.4,1951,50.4,13.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:49,80.95,1946,50.3,16.6,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:50,78.75,1952,50.4,13.3,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:51,82.05,1961,50.6,26.6,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:52,79.85,1962,50.7,16.3,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:53,80.95,1962,50.7,27.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:54,80.4,1959,50.6,16.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:55,79.85,1959,50.6,8.3,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:56,82.05,1972,50.9,28.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:57,80.95,1968,50.8,20.7,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:18:58,80.95,1970,50.9,7.8,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
