ms,vbus,pin_v
15,1,3.137
267,1,3.137
525,1,3.137
785,1,3.137
1046,1,3.137
1306,1,3.137
1566,1,3.137
1826,1,3.137
2078,1,3.137
2330,1,3.137
2666,1,3.137
2976,1,3.137
3287,1,3.137
3597,1,3.137
3907,1,3.137
4217,1,3.137
4527,1,3.137
4837,1,3.137
5147,1,3.137
5457,1,3.137
5767,1,3.137
6077,1,3.137
6388,1,3.137
6698,1,3.137
7008,1,3.137
7318,1,3.137
7628,1,3.137
7938,1,3.137
8248,1,3.137
8558,1,3.137
8868,1,3.137
9178,1,3.137
9488,1,3.137
9798,1,3.137
10109,1,3.137
10419,1,3.137
10729,1,3.137
11039,1,3.137
11349,1,3.137
11659,1,3.137
11969,1,3.137
12279,1,3.137
12589,1,3.137
12899,1,3.137
13209,1,3.137
13520,1,3.137
13830,1,3.137
14140,1,3.137
14450,1,3.137
15055,1,3.137
15370,1,3.137
15690,1,3.137
16000,1,3.137
16310,1,3.137
16620,1,3.137
16931,1,3.137
17241,1,3.137
17551,1,3.137
17861,1,3.137
18171,1,3.137
18481,1,3.137
18791,1,3.137
19111,1,3.137
19421,1,3.137
19731,1,3.137
20041,1,3.137
20352,1,3.137
20662,1,3.137
20982,1,3.137
21302,1,3.137
21622,1,3.137
21932,1,3.137
22252,1,3.137
22572,1,3.137
22892,1,3.137
23213,1,3.137
23533,1,3.137
23843,1,3.137
24153,1,3.137
24463,1,3.137
24783,1,3.137
25103,1,3.137
25423,1,3.137
25743,1,3.137
26063,1,3.137
26383,1,3.137
26694,1,3.137
27004,1,3.137
27324,1,3.137
27644,1,3.137
27964,1,3.137
28274,1,3.137
28594,1,3.137
28914,1,3.137
29234,1,3.137
29554,1,3.137
29865,1,3.137
30175,1,3.137
30495,1,3.137
30815,1,3.137
31135,1,3.137
31455,1,3.137
31775,1,3.137
32095,1,3.137
32415,1,3.137
32735,1,3.137
33056,1,3.137
33376,1,3.137
33696,1,3.137
34016,1,3.137
34336,1,3.137
34985,1,3.137
35306,1,3.137
35626,1,3.137
35946,1,3.137
36266,1,3.137
36586,1,3.137
36907,1,3.137
37227,1,3.137
37547,1,3.137
37867,1,3.137
38187,1,3.137
38507,1,3.137
38827,1,3.137
39147,1,3.137
39467,1,3.137
39787,1,3.137
40107,1,3.137
40428,1,3.137
40748,1,3.137
41068,1,3.137
41388,1,3.137
41708,1,3.137
42028,1,3.137
42348,1,3.137
42668,1,3.137
42988,1,3.137
43308,1,3.137
43629,1,3.137
43949,1,3.137
44269,1,3.137
44589,1,3.137
44909,1,3.137
45229,1,3.137
45549,1,3.137
45869,1,3.137
46189,1,3.137
46509,1,3.137
46829,1,3.137
47150,1,3.137
47470,1,3.137
47790,1,3.137
48110,1,3.137
48430,1,3.137
48750,1,3.137
49080,1,3.137
49400,1,3.137
49720,1,3.137
50041,1,3.137
50361,1,3.137
50681,1,3.137
51001,1,3.137
51321,1,3.137
51641,1,3.137
51971,1,3.137
52301,1,3.137
52631,1,3.137
52951,1,3.137
53272,1,3.137
53592,1,3.137
53912,1,3.137
54232,1,3.137
54552,1,3.137
55215,1,3.137
55542,1,3.137
55862,1,3.137
56192,1,3.137
56522,1,3.137
56853,1,3.137
57183,1,3.137
57513,1,3.137
57843,1,3.137
58173,1,3.137
58503,1,3.137
58833,1,3.137
59163,1,3.137
59493,1,3.137
59823,1,3.137
60143,1,3.137
60464,1,3.137
60794,1,3.137
61124,1,3.137
61454,1,3.137
61784,1,3.137
62114,1,3.137
62434,1,3.137
62764,1,3.137
63094,1,3.137
63424,1,3.137
63755,1,3.137
64085,1,3.137
64415,1,3.137
64745,1,3.137
65075,1,3.137
65405,1,3.137
65745,1,3.137
66085,1,3.137
66425,1,3.137
66765,1,3.137
67105,1,3.137
67445,1,3.137
67785,0,3.137
68125,0,3.137
68466,0,3.137
68806,0,3.137
69146,0,3.137
69486,0,3.137
69826,0,3.137
70166,0,3.137
70506,0,3.137
70846,0,3.137
71186,0,3.137
71526,0,3.137
71866,0,3.137
72207,0,3.137
72547,0,3.137
72887,0,3.137
73227,0,3.137
73567,0,3.137
73907,0,3.137
74247,0,3.137
74587,0,3.137
74927,0,3.137
75267,0,3.137
75607,0,3.137
76285,0,3.137
76628,0,3.137
76968,0,3.137
77308,0,3.137
77648,0,3.137
77988,0,3.137
78328,0,3.137
78668,0,3.137
79008,0,3.137
79348,0,3.137
79689,0,3.137
80029,0,3.137
80369,0,3.137
80709,0,3.137
81049,0,3.137
81389,0,3.137
81729,0,3.137
82069,0,3.137
82409,0,3.137
82749,0,3.137
83089,0,3.137
83430,0,3.137
83770,0,3.137
84110,0,3.137
84450,0,3.137
84790,0,3.137
85130,0,3.137
85470,0,3.137
85810,0,3.137
86150,0,3.137
86490,0,3.137
86861,0,3.137
87201,0,3.137
87551,0,3.137
87891,0,3.137
88241,0,3.137
88581,0,3.137
88921,0,3.137
89261,0,3.137
89611,0,3.137
89961,0,3.137
90301,0,3.137
90642,0,3.137
90982,0,3.137
91322,0,3.137
91662,0,3.137
92012,1,3.137
92352,1,3.137
92692,1,3.137
93042,1,3.137
93392,1,3.137
93733,1,3.137
94083,1,3.137
94433,1,3.137
94783,1,3.137
95133,1,3.137
95483,1,3.137
95833,1,3.137
96173,1,3.137
96523,1,3.137
96926,1,3.137
97235,1,3.137
97875,1,3.137
98186,1,3.137
98496,1,3.137
98806,1,3.137
99116,1,3.137
99426,1,3.137
99736,1,3.137
100046,1,3.137
100356,1,3.137
100667,1,3.137
100977,1,3.137
101287,1,3.137
101597,1,3.137
101907,1,3.137
102217,1,3.137
102527,1,3.137
102837,1,3.137
103147,1,3.137
103458,1,3.137
103768,1,3.137
104078,1,3.137
104388,1,3.137
104698,1,3.137
105008,1,3.137
105318,1,3.137
105628,1,3.137
105938,1,3.137
106248,1,3.137
106559,1,3.137
106869,1,3.137
107179,1,3.137
107489,1,3.137
107799,1,3.137
108109,1,3.137
108419,1,3.137
108729,1,3.137
109039,1,3.137
109349,1,3.137
109660,1,3.137
109970,1,3.137
110280,1,3.137
