order,"product id","product name",quantity,price,subtotal
1724509,3082,"Aluminum Heat Sink for Raspberry Pi 3 or 4   15 x 15 x 15mm",1,1.9500,1.95
1724509,3409,"Raspberry Pi Zero W Basic Pack   Includes Pi Zero W",1,24.5000,24.5
1724509,3708,"Raspberry Pi Zero WH (Zero W with Headers)",1,14.0000,14
1724509,3775,"Raspberry Pi 3   Model B    1.4GHz Cortex A53 with 1GB RAM",1,35.0000,35
1743576,64,"Half Sized Premium Breadboard   400 Tie Points",1,5.0000,5
1743576,154,"Continuous Rotation Servo",1,11.9500,11.95
1743576,759,"Premium Male/Male Jumper Wires   40 x 3"" (75mm)",1,3.9500,3.95
1743576,1008,"Small Alligator Clip Test Lead (set of 12)",1,3.9500,3.95
1743576,1609,"Adafruit Perma Proto Half sized Breadboard PCB   Single",1,4.5000,4.5
1743576,3775,"Raspberry Pi 3   Model B    1.4GHz Cortex A53 with 1GB RAM",1,35.0000,35
2216637,3157,"Raspberry Pi Zero v1.3 Camera Cable",1,5.9500,5.95
2216637,3335,"Pi Supply PaPiRus Zero ePaper/eInk pHAT v1.2",1,34.9500,34.95
3292517,3299,"Black Nylon Machine Screw and Stand off Set – M2.5 Thread",1,16.9500,16.95
3292517,4561,"Raspberry Pi High Quality HQ Camera",1,50.0000,50
3292517,5302,"Adafruit KB2040   RP2040 Kee Boar Driver",1,8.9500,8.95
3292517,5657,"Raspberry Pi Camera Module 3 Standard",1,25.0000,25
3292517,5719,"PCB Coaster with Gold Adafruit Logo",1,2.5000,2.5
3292517,5812,"Raspberry Pi 5   4 GB RAM",1,60.0000,60
3292517,5813,"Raspberry Pi 5   8 GB RAM",1,80.0000,80
3292517,5814,"Official Raspberry Pi 27W PD Power Supply 5.1V 5A with USB C",1,12.0000,12
3292517,5815,"Official Raspberry Pi 5 Active Cooler",1,5.0000,5
3292517,5816,"Official Raspberry Pi Foundation Raspberry Pi 5 Case   Fan",2,10.0000,20
3294519,4562,"16mm 10MP Telephoto Lens for Raspberry Pi HQ Camera",1,50.0000,50
3310939,65,"Tiny Premium Breadboard",1,3.9500,3.95
